,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%, ,OWS,DWS,WS,WS/48, ,OBPM,DBPM,BPM,VORP
78,Skeeter Henry,SG,26,PHO,3,16,0.6,.167,.333,.000,6.5,14.9,10.5,24.7,0.0,0.0,14.3,18.8,,-0.1,0.0,-0.1,-0.218,,-6.3,-4.3,-10.6,0.0
79,Carl Herrera,PF,27,HOU,16,248,10.8,.577,.000,.276,6.9,13.2,10.2,1.9,1.1,0.8,9.7,13.5,,0.3,0.2,0.5,.106,,-2.9,0.4,-2.5,0.0
80,Rod Higgins,SF,34,CLE,3,57,4.2,.463,.636,.182,4.1,4.8,4.4,11.5,1.0,1.3,20.2,12.3,,0.0,0.0,-0.1,-0.053,,-3.9,-1.5,-5.4,0.0
81,Tyrone Hill,PF,25,CLE,3,123,11.7,.485,.000,1.370,13.2,18.9,15.8,5.5,0.5,0.6,15.6,19.7,,0.1,-0.1,0.0,.002,,-2.0,-3.3,-5.3,-0.1
82,Jeff Hornacek,SG,30,UTA,16,558,18.0,.591,.190,.380,2.2,5.9,4.0,20.4,2.4,0.8,11.8,19.9,,1.4,0.4,1.9,.159,,3.2,1.5,4.7,0.9
83,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,Robert Horry,SF,23,HOU,23,778,16.7,.541,.394,.226,6.4,13.5,10.2,16.7,2.4,1.8,9.8,16.5,,1.5,1.0,2.5,.152,,2.4,2.7,5.0,1.4
85,Byron Houston,PF,24,GSW,3,46,14.4,.735,.000,.625,5.4,7.5,6.5,7.7,1.1,2.5,0.0,9.2,,0.2,-0.1,0.1,.095,,-0.1,1.5,1.4,0.0
86,Stephen Howard,SF,23,UTA,10,27,8.0,.442,.000,1.000,12.6,30.3,21.3,0.0,0.0,0.0,11.2,31.0,,0.0,0.0,0.0,.055,,-9.9,-3.0,-12.9,-0.1
87,Jay Humphries,SG,31,UTA,16,356,11.7,.490,.204,.259,2.6,9.5,6.0,18.7,2.0,0.4,11.7,18.0,,0.2,0.3,0.5,.068,,-2.2,1.0,-1.1,0.1
88,Jaren Jackson,SG,26,POR,1,1,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,-0.069,,-4.9,-3.9,-8.8,0.0
89,Keith Jennings,PG,25,GSW,3,39,5.0,.466,.385,.538,3.2,11.8,7.6,11.7,1.3,0.0,19.9,21.3,,0.0,-0.1,-0.1,-0.093,,-9.2,-3.1,-12.3,-0.1
90,Chris Jent,SF,24,HOU,11,62,4.5,.325,.650,.000,2.0,13.6,8.2,16.7,1.7,0.0,13.0,17.3,,-0.1,0.1,-0.1,-0.060,,-4.4,-0.3,-4.8,0.0
91,Avery Johnson,PG,28,GSW,3,41,20.5,.529,.059,.000,0.0,8.4,4.4,32.1,4.8,1.4,15.0,20.2,,0.1,0.0,0.0,.050,,1.1,1.9,3.0,0.1
92,Ervin Johnson,C,26,SEA,2,8,-4.9,.000,.000,.000,0.0,57.6,28.2,0.0,0.0,0.0,50.0,11.6,,-0.1,0.0,0.0,-0.182,,-11.4,-2.0,-13.4,0.0
93,Frank Johnson,PG,35,PHO,7,46,-3.3,.116,.167,.167,4.5,5.2,4.8,13.6,2.2,0.0,18.9,14.9,,-0.2,0.0,-0.2,-0.225,,-10.1,-4.0,-14.1,-0.1
94,Kevin Johnson,PG,27,PHO,10,427,22.1,.537,.047,.382,2.4,7.0,4.6,37.8,1.2,0.2,12.1,28.4,,1.3,-0.1,1.2,.136,,4.9,-1.9,3.0,0.5
95,Adam Keefe,PF,23,ATL,7,62,8.5,.573,.000,.900,5.3,18.8,11.9,5.1,0.9,1.2,22.3,13.3,,0.0,0.1,0.1,.061,,-4.6,0.2,-4.4,0.0
96,Shawn Kemp,PF,24,SEA,5,206,15.9,.438,.000,.471,10.7,16.2,13.4,15.5,2.6,4.5,14.2,22.2,,0.0,0.4,0.3,.081,,0.8,1.2,2.0,0.2
97,Tim Kempton,PF,30,CLE,3,89,13.7,.470,.000,.240,13.1,9.2,11.3,15.9,1.9,0.0,12.6,16.8,,0.1,0.0,0.1,.048,,0.0,-0.7,-0.7,0.0
98,Steve Kerr,PG,28,CHI,10,186,8.3,.469,.444,.083,1.4,7.7,4.7,8.2,2.1,0.0,2.6,9.9,,0.2,0.1,0.3,.075,,-2.0,0.1,-1.9,0.0
99,Jerome Kersey,SF,31,POR,3,38,6.5,.302,.000,.313,13.8,12.8,13.3,0.0,1.3,2.0,0.0,20.2,,-0.1,0.0,-0.1,-0.096,,-4.3,-4.8,-9.0,-0.1
100,Chris King,SF,24,SEA,2,7,-5.6,.000,.000,2.000,0.0,0.0,0.0,0.0,7.8,0.0,0.0,12.5,,0.0,0.0,0.0,-0.220,,-10.8,0.7,-10.2,0.0
101,Joe Kleine,C,32,PHO,8,81,10.9,.457,.000,.214,6.5,17.7,11.7,5.5,0.6,3.4,6.1,17.3,,0.0,0.0,0.1,.039,,-3.8,-0.3,-4.0,0.0
102,Negele Knight,PG,26,SAS,4,108,8.0,.400,.073,.293,2.8,3.4,3.1,19.2,1.5,0.0,13.1,22.2,,-0.1,0.0,-0.1,-0.056,,-3.3,-2.0,-5.3,-0.1
103,Jon Koncak,C,30,ATL,11,195,9.7,.412,.000,.152,2.8,14.9,8.7,11.3,1.7,4.5,7.9,18.0,,-0.1,0.3,0.2,.044,,-5.0,3.3,-1.6,0.0
104,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,Larry Krystkowiak,PF,29,ORL,3,92,13.3,.455,.000,.222,9.0,24.1,16.4,16.4,1.8,1.5,9.2,10.4,,0.1,0.1,0.2,.120,,0.0,2.7,2.6,0.1
106,Toni Kukoč,SF,25,CHI,10,194,21.8,.567,.284,.507,7.2,17.9,12.8,32.6,1.5,1.2,17.2,24.4,,0.5,0.2,0.7,.179,,5.8,1.3,7.0,0.4
107,Andrew Lang,C,27,ATL,11,234,12.2,.516,.016,.349,7.1,15.9,11.4,3.5,1.4,6.3,17.1,17.2,,0.0,0.4,0.4,.082,,-3.7,2.8,-0.9,0.1
108,Grant Long,PF,27,MIA,4,110,14.0,.512,.000,.750,9.8,8.2,9.0,11.5,1.5,1.2,17.3,23.4,,0.1,0.0,0.1,.063,,0.2,-0.5,-0.3,0.0
109,Luc Longley,C,25,CHI,10,170,13.8,.544,.000,.360,9.8,22.6,16.4,18.4,2.0,3.7,26.6,22.2,,-0.1,0.3,0.2,.064,,-4.0,2.5,-1.5,0.0
110,Rick Mahorn,PF,35,NJN,3,19,-4.7,.000,.000,.000,5.8,17.3,11.6,0.0,0.0,3.7,50.0,4.8,,0.0,0.0,0.0,-0.046,,-13.1,-0.4,-13.5,-0.1
111,Dan Majerle,SG,28,PHO,10,410,9.7,.459,.465,.126,3.8,8.2,5.8,8.2,1.4,0.7,6.9,15.1,,0.2,-0.1,0.2,.019,,-1.0,-1.4,-2.4,-0.1
112,Karl Malone*,PF,30,UTA,16,703,24.6,.531,.012,.473,8.4,24.3,16.2,15.7,1.8,1.4,7.7,29.5,,2.0,1.1,3.1,.209,,5.6,0.9,6.5,1.5
113,Danny Manning,PF,27,ATL,11,426,19.6,.547,.000,.384,7.2,13.4,10.2,16.4,1.9,1.6,11.5,24.5,,0.9,0.6,1.5,.166,,2.2,2.0,4.2,0.7
114,Anthony Mason,PF,27,NYK,25,660,13.0,.553,.000,.562,9.3,17.3,13.2,12.2,1.2,0.6,17.4,14.5,,0.8,1.0,1.9,.135,,-0.1,1.6,1.5,0.6
