,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,current_year
154,Arvydas Sabonis,C,31.0,POR,5.0,5.0,177.0,7.1,16.5,0.43200000000000005,1.0,1.8,0.556,6.1,14.6,0.41700000000000004,8.7,12.2,0.7170000000000001,2.4,7.9,10.4,1.8,0.8,0.6,2.0,3.5,24.0,1996
155,John Salley,PF,31.0,CHI,16.0,0.0,85.0,2.5,4.7,0.545,0.0,0.0,,2.5,4.7,0.545,0.8,3.0,0.28600000000000003,1.7,3.0,4.7,2.5,0.4,0.8,1.7,10.6,5.9,1996
156,Danny Schayes,C,36.0,MIA,2.0,0.0,17.0,6.4,8.5,0.75,0.0,0.0,,6.4,8.5,0.75,2.1,4.2,0.5,4.2,4.2,8.5,0.0,0.0,0.0,4.2,2.1,14.8,1996
157,Steve Scheffler,C,28.0,SEA,8.0,0.0,22.0,0.0,6.5,0.0,0.0,0.0,,0.0,6.5,0.0,0.0,3.3,0.0,3.3,6.5,9.8,3.3,1.6,0.0,1.6,3.3,0.0,1996
158,Detlef Schrempf,SF,33.0,SEA,21.0,21.0,789.0,5.6,11.8,0.475,1.0,2.6,0.368,4.7,9.2,0.505,3.1,4.2,0.75,0.9,3.9,4.8,3.1,0.6,0.2,3.1,2.9,15.3,1996
159,Dennis Scott,SF,27.0,ORL,12.0,12.0,446.0,3.9,9.4,0.414,2.1,5.6,0.377,1.8,3.8,0.46799999999999997,1.1,1.8,0.636,0.7,2.7,3.5,1.9,0.7,0.1,1.2,3.0,11.0,1996
160,Brian Shaw,PG,29.0,ORL,10.0,0.0,217.0,3.0,8.6,0.34600000000000003,1.3,3.6,0.364,1.7,5.0,0.33299999999999996,0.5,0.7,0.75,1.0,2.5,3.5,7.6,0.8,0.0,3.2,4.5,7.8,1996
161,Lionel Simmons,SF,27.0,SAC,4.0,0.0,77.0,7.0,15.4,0.455,1.4,4.2,0.33299999999999996,5.6,11.2,0.5,2.3,3.3,0.7140000000000001,1.9,3.7,5.6,3.7,2.8,0.9,2.8,5.6,17.8,1996
162,Charles Smith,PF,30.0,SAS,10.0,8.0,165.0,5.2,10.5,0.5,0.0,0.0,,5.2,10.5,0.5,0.7,1.7,0.375,2.4,5.7,8.1,2.2,1.5,2.2,1.7,6.1,11.1,1996
163,Kenny Smith,PG,30.0,HOU,8.0,8.0,191.0,4.3,10.0,0.434,2.3,5.8,0.387,2.1,4.1,0.5,2.5,2.5,1.0,0.8,1.5,2.3,7.2,0.9,0.0,1.5,2.6,13.4,1996
164,Michael Smith,PF,23.0,SAC,4.0,0.0,87.0,2.9,5.0,0.583,0.0,0.0,,2.9,5.0,0.583,2.1,4.6,0.455,2.9,6.2,9.1,3.3,0.4,0.8,0.8,5.8,7.9,1996
165,Steve Smith,SG,26.0,ATL,10.0,10.0,421.0,6.4,14.6,0.439,2.1,5.2,0.41,4.3,9.4,0.455,3.6,4.4,0.8079999999999999,1.3,2.2,3.5,2.7,1.1,1.1,1.4,2.7,18.6,1996
166,Tony Smith,SG,27.0,MIA,3.0,0.0,61.0,5.3,11.2,0.474,2.4,5.9,0.4,3.0,5.3,0.556,0.0,0.0,,1.8,0.6,2.4,4.7,2.4,0.0,1.8,4.1,13.0,1996
168,Rik Smits,C,29.0,IND,5.0,5.0,166.0,9.1,16.7,0.545,0.0,0.0,,9.1,16.7,0.545,2.4,3.0,0.7859999999999999,2.8,5.2,8.0,1.7,0.4,0.4,3.0,4.3,20.6,1996
169,Eric Snow,PG,22.0,SEA,10.0,0.0,24.0,1.5,10.5,0.14300000000000002,0.0,3.0,0.0,1.5,7.5,0.2,0.0,0.0,,0.0,6.0,6.0,9.0,3.0,0.0,6.0,4.5,3.0,1996
170,Elmore Spencer,C,26.0,POR,1.0,0.0,1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1996
171,Felton Spencer,C,28.0,UTA,18.0,18.0,276.0,3.0,6.9,0.434,0.0,0.1,0.0,3.0,6.8,0.442,0.7,1.2,0.556,3.4,3.7,7.0,0.3,0.7,2.9,2.5,7.6,6.7,1996
172,John Starks,SG,30.0,NYK,8.0,8.0,314.0,4.5,10.0,0.44799999999999995,2.4,5.2,0.467,2.1,4.8,0.429,3.3,4.5,0.7440000000000001,0.3,3.0,3.3,3.8,1.5,0.1,2.9,3.0,14.7,1996
173,John Stockton,PG,33.0,UTA,18.0,18.0,679.0,3.7,8.3,0.446,0.6,2.0,0.289,3.1,6.3,0.496,2.5,3.1,0.8140000000000001,0.7,2.3,3.1,10.3,1.5,0.4,3.1,2.7,10.6,1996
174,Rod Strickland,PG,29.0,POR,5.0,5.0,202.0,6.6,15.0,0.44,1.1,2.1,0.5,5.5,12.8,0.431,4.1,6.4,0.639,2.1,3.4,5.5,7.5,0.9,0.0,2.1,2.5,18.4,1996
175,Bob Sura,SG,22.0,CLE,3.0,0.0,18.0,4.0,6.0,0.667,0.0,0.0,,4.0,6.0,0.667,0.0,0.0,,0.0,2.0,2.0,6.0,2.0,0.0,8.0,8.0,8.0,1996
176,Kurt Thomas,PF,23.0,MIA,3.0,3.0,60.0,2.4,6.0,0.4,0.0,0.0,,2.4,6.0,0.4,2.4,2.4,1.0,2.4,7.2,9.6,1.8,1.2,0.6,3.0,7.8,7.2,1996
177,Brooks Thompson,PG,25.0,ORL,5.0,0.0,48.0,7.5,15.8,0.47600000000000003,0.7,4.5,0.16699999999999998,6.8,11.3,0.6,3.7,5.2,0.7140000000000001,2.3,1.5,3.7,5.2,0.0,0.7,6.8,5.2,19.5,1996
178,Otis Thorpe,PF,33.0,DET,3.0,3.0,101.0,4.6,8.6,0.542,0.0,0.0,,4.6,8.6,0.542,3.2,4.3,0.75,5.0,7.5,12.5,2.5,0.0,0.0,2.5,3.2,12.5,1996
179,Sedale Threatt,PG,34.0,LAL,4.0,0.0,57.0,2.5,11.4,0.222,1.3,6.9,0.182,1.3,4.4,0.28600000000000003,0.0,0.0,,0.6,1.3,1.9,2.5,1.3,0.0,1.9,2.5,6.3,1996
180,Wayman Tisdale,PF,31.0,PHO,4.0,0.0,67.0,5.4,16.1,0.33299999999999996,0.0,0.0,,5.4,16.1,0.33299999999999996,0.5,1.1,0.5,1.6,0.5,2.1,1.1,0.5,0.5,0.5,3.8,11.3,1996
181,Gary Trent,PF,21.0,POR,2.0,0.0,10.0,3.6,14.4,0.25,0.0,0.0,,3.6,14.4,0.25,0.0,0.0,,0.0,3.6,3.6,0.0,3.6,0.0,0.0,10.8,7.2,1996
182,Nick Van Exel,PG,24.0,LAL,4.0,4.0,137.0,4.2,14.2,0.29600000000000004,1.3,4.2,0.313,2.9,10.0,0.289,2.6,3.4,0.769,1.1,3.2,4.2,7.1,0.5,0.0,2.9,2.6,12.4,1996
183,Charlie Ward,PG,25.0,NYK,7.0,0.0,92.0,5.1,10.6,0.48100000000000004,1.2,4.7,0.25,3.9,5.9,0.667,1.2,2.7,0.429,0.8,2.7,3.5,6.7,4.3,0.0,2.3,3.5,12.5,1996
184,Bill Wennington,C,32.0,CHI,18.0,0.0,169.0,5.5,10.7,0.52,0.0,0.2,0.0,5.5,10.4,0.531,0.4,0.9,0.5,2.3,4.0,6.4,1.9,0.9,0.2,1.1,6.4,11.5,1996
185,Mark West,C,35.0,DET,3.0,3.0,78.0,5.1,9.7,0.524,0.0,0.0,,5.1,9.7,0.524,2.8,6.0,0.462,2.8,4.6,7.4,0.5,0.5,0.5,0.9,5.5,12.9,1996
186,Buck Williams,PF,35.0,POR,5.0,1.0,133.0,2.4,6.2,0.391,0.3,0.5,0.5,2.2,5.7,0.381,1.4,1.9,0.7140000000000001,3.5,3.2,6.8,0.3,0.3,1.1,1.4,4.9,6.5,1996
187,Herb Williams,PF,37.0,NYK,5.0,0.0,33.0,3.3,5.5,0.6,0.0,0.0,,3.3,5.5,0.6,3.3,4.4,0.75,0.0,0.0,0.0,0.0,0.0,2.2,1.1,3.3,9.8,1996
189,Hot Rod Williams,C,33.0,PHO,4.0,4.0,115.0,4.4,10.0,0.43799999999999994,0.0,0.0,,4.4,10.0,0.43799999999999994,2.5,3.8,0.667,3.4,4.7,8.1,0.3,0.0,2.2,1.9,5.3,11.3,1996
190,Monty Williams,SF,24.0,SAS,7.0,0.0,29.0,2.5,11.2,0.222,0.0,0.0,,2.5,11.2,0.222,3.7,7.4,0.5,3.7,5.0,8.7,0.0,0.0,0.0,5.0,5.0,8.7,1996
191,Walt Williams,SF,25.0,MIA,3.0,3.0,70.0,3.1,9.3,0.33299999999999996,0.5,4.6,0.111,2.6,4.6,0.556,0.5,1.0,0.5,1.5,4.6,6.2,2.6,0.5,0.5,1.5,2.1,7.2,1996
192,Corliss Williamson,SF,22.0,SAC,1.0,0.0,2.0,0.0,18.0,0.0,0.0,0.0,,0.0,18.0,0.0,18.0,18.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,1996
193,David Wingate,SG,32.0,SEA,13.0,0.0,68.0,3.7,8.5,0.43799999999999994,0.5,1.1,0.5,3.2,7.4,0.429,2.1,2.1,1.0,0.5,1.1,1.6,0.0,0.0,0.0,2.1,8.5,10.1,1996
194,Dontonio Wingfield,SF,21.0,POR,5.0,0.0,62.0,4.6,12.2,0.381,3.5,5.8,0.6,1.2,6.4,0.182,1.2,3.5,0.33299999999999996,5.8,2.3,8.1,2.3,0.0,0.0,1.7,5.8,13.9,1996
195,Joe Wolf,PF,31.0,ORL,11.0,0.0,85.0,3.4,9.7,0.348,0.4,1.3,0.33299999999999996,3.0,8.5,0.35,1.3,1.7,0.75,0.4,2.1,2.5,0.8,0.4,0.0,1.7,8.0,8.5,1996
196,Haywoode Workman,PG,30.0,IND,5.0,0.0,53.0,4.8,10.9,0.43799999999999994,2.0,3.4,0.6,2.7,7.5,0.364,1.4,1.4,1.0,0.7,1.4,2.0,1.4,1.4,0.0,1.4,3.4,12.9,1996
