,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%, ,OWS,DWS,WS,WS/48, .1,OBPM,DBPM,BPM,VORP,current_year
61,P.J. Brown,C,24.0,NJN,79.0,1950.0,12.2,0.48,0.015,0.37799999999999995,10.0,16.8,13.3,6.7,1.8,3.0,13.3,11.7,,1.4,2.8,4.2,0.105,,-1.5,1.5,0.1,1.0,1994
62,Randy Brown,PG,25.0,SAC,61.0,1041.0,9.3,0.47200000000000003,0.016,0.34700000000000003,4.1,7.7,5.9,18.3,3.0,0.9,20.6,14.8,,-0.4,0.8,0.4,0.017,,-4.0,1.0,-3.0,-0.3,1994
63,Mark Bryant,C,28.0,POR,79.0,1441.0,9.9,0.514,0.003,0.271,8.5,15.6,11.9,3.5,1.1,1.3,13.3,14.0,,0.9,1.4,2.3,0.076,,-3.2,-0.4,-3.6,-0.6,1994
64,Jud Buechler,SF,25.0,GSW,36.0,218.0,14.9,0.5710000000000001,0.345,0.23800000000000002,6.6,9.3,7.9,10.6,1.8,0.3,11.5,19.8,,0.4,0.1,0.5,0.11199999999999999,,0.3,-1.0,-0.7,0.1,1994
65,Matt Bullard,PF,26.0,HOU,65.0,725.0,8.8,0.47600000000000003,0.6809999999999999,0.115,3.7,8.9,6.4,12.6,1.0,0.5,10.5,16.2,,0.2,0.8,1.0,0.068,,-1.4,-0.4,-1.8,0.0,1994
66,Evers Burns,PF,22.0,SAC,23.0,143.0,9.7,0.43,0.0,0.418,9.7,13.3,11.5,9.7,2.1,1.3,9.7,21.3,,-0.1,0.1,0.1,0.02,,-5.0,-0.6,-5.5,-0.1,1994
67,Scott Burrell,SF,23.0,CHH,51.0,767.0,10.4,0.461,0.026000000000000002,0.299,6.8,12.0,9.5,11.1,2.4,1.3,14.5,17.2,,-0.2,0.7,0.5,0.03,,-2.8,0.2,-2.6,-0.1,1994
68,Willie Burton,SF,25.0,MIA,53.0,697.0,15.6,0.526,0.053,0.5579999999999999,8.1,14.0,11.1,8.9,1.3,2.0,13.3,25.1,,0.9,0.7,1.6,0.113,,-0.7,-1.0,-1.7,0.1,1994
69,Mitchell Butler,SG,23.0,WSB,75.0,1321.0,13.0,0.521,0.012,0.431,9.2,10.7,10.0,8.9,2.0,0.9,14.9,19.0,,0.7,0.4,1.1,0.04,,-1.0,-1.4,-2.4,-0.1,1994
70,Michael Cage,C,32.0,SEA,82.0,1708.0,11.9,0.545,0.003,0.23600000000000002,11.3,19.5,15.4,3.5,2.3,1.6,12.8,10.0,,1.9,3.0,4.9,0.13699999999999998,,-0.9,0.6,-0.3,0.7,1994
71,Elden Campbell,PF,25.0,LAL,76.0,2253.0,15.2,0.503,0.002,0.33799999999999997,7.7,17.7,12.5,5.7,1.4,4.1,9.6,19.2,,2.0,2.2,4.2,0.08900000000000001,,-1.1,-0.1,-1.2,0.5,1994
72,Tony Campbell,SF,31.0,TOT,63.0,1214.0,13.3,0.491,0.055,0.23399999999999999,6.8,10.7,8.6,11.4,2.1,0.8,12.9,22.8,,0.4,1.2,1.5,0.061,,-1.5,-0.5,-2.0,0.0,1994
76,Antoine Carr,PF,32.0,SAS,34.0,465.0,12.8,0.534,0.006,0.363,3.1,9.0,6.2,5.1,1.0,3.1,7.5,19.3,,0.7,0.5,1.2,0.124,,-2.2,0.5,-1.7,0.0,1994
77,Bill Cartwright,C,36.0,CHI,42.0,780.0,10.1,0.544,0.0,0.298,6.4,16.4,11.4,10.5,0.5,0.7,18.8,15.1,,0.4,0.9,1.3,0.077,,-2.5,-0.1,-2.6,-0.1,1994
78,Sam Cassell,PG,24.0,HOU,66.0,1122.0,13.1,0.506,0.22699999999999998,0.276,2.6,10.2,6.6,25.8,2.7,0.4,17.8,20.9,,0.4,1.8,2.2,0.09300000000000001,,-2.1,1.3,-0.7,0.4,1994
79,Duane Causwell,C,25.0,SAC,41.0,674.0,11.8,0.545,0.0,0.496,10.8,19.6,15.1,2.3,1.4,4.6,16.5,12.5,,0.4,0.8,1.2,0.085,,-3.2,0.6,-2.6,-0.1,1994
80,Cedric Ceballos,SF,24.0,PHO,53.0,1602.0,20.9,0.5660000000000001,0.011000000000000001,0.278,10.9,13.3,12.1,9.4,1.8,0.9,9.4,25.8,,4.1,1.4,5.5,0.166,,3.2,-0.9,2.3,1.8,1994
81,Tom Chambers,PF,34.0,UTA,80.0,1838.0,13.4,0.512,0.06,0.376,5.5,14.8,10.2,6.8,1.1,1.2,9.3,23.1,,1.8,2.1,3.9,0.10099999999999999,,-1.5,-0.8,-2.3,-0.1,1994
