,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,current_year
175,Kiki Vandeweghe,SF,31.0,NYK,10.0,10.0,23.6,3.1,7.4,0.419,0.6,1.3,0.462,2.5,6.1,0.41,0.45899999999999996,0.8,1.0,0.8,0.7,0.5,1.2,1.4,0.5,0.2,0.7,1.4,7.6,1990
176,Jay Vincent,SF,30.0,LAL,3.0,0.0,2.7,0.0,0.7,0.0,0.0,0.0,,0.0,0.7,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.3,0.0,1990
177,Kenny Walker,PF,25.0,NYK,10.0,2.0,15.4,1.6,2.9,0.552,0.0,0.1,0.0,1.6,2.8,0.5710000000000001,0.552,0.9,1.4,0.643,0.7,1.8,2.5,0.6,0.0,0.4,0.1,2.2,4.1,1990
178,Bill Wennington,C,26.0,DAL,3.0,0.0,8.3,0.3,1.7,0.2,0.0,0.0,,0.3,1.7,0.2,0.2,0.0,0.0,,0.0,1.0,1.0,0.3,0.0,0.3,0.7,1.7,0.7,1990
179,Mark West,C,29.0,PHO,16.0,16.0,34.0,4.7,8.1,0.5770000000000001,0.0,0.0,,4.7,8.1,0.5770000000000001,0.5770000000000001,1.7,3.1,0.54,3.3,6.9,10.3,0.3,0.3,2.6,1.6,4.6,11.1,1990
180,Randy White,PF,22.0,DAL,1.0,0.0,2.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1990
181,Mitchell Wiggins,SG,30.0,HOU,4.0,0.0,12.8,1.8,3.8,0.467,0.0,0.0,,1.8,3.8,0.467,0.467,0.5,0.8,0.667,1.0,2.3,3.3,0.5,0.3,0.0,1.0,1.3,4.0,1990
182,Eddie Lee Wilkins,C,27.0,NYK,7.0,0.0,7.7,1.3,2.6,0.5,0.0,0.0,,1.3,2.6,0.5,0.5,0.9,1.6,0.545,0.7,0.9,1.6,0.0,0.3,0.0,0.3,1.0,3.4,1990
183,Gerald Wilkins,SG,26.0,NYK,10.0,10.0,31.9,6.3,13.7,0.46,0.2,0.8,0.25,6.1,12.9,0.473,0.467,1.8,2.2,0.818,1.4,2.2,3.6,5.2,1.4,0.1,1.8,2.3,14.6,1990
184,Buck Williams,PF,29.0,POR,21.0,21.0,37.0,4.8,9.5,0.508,0.0,0.0,,4.8,9.5,0.508,0.508,3.4,5.0,0.6759999999999999,3.2,6.0,9.2,1.9,0.6,0.3,2.0,3.5,13.0,1990
185,Herb Williams,C,31.0,DAL,3.0,0.0,27.0,4.7,7.7,0.609,0.0,0.0,,4.7,7.7,0.609,0.609,4.3,5.3,0.813,1.3,3.0,4.3,1.7,0.3,0.7,1.0,5.3,13.7,1990
186,Hot Rod Williams,PF,27.0,CLE,5.0,0.0,34.8,7.8,14.0,0.557,0.0,0.0,,7.8,14.0,0.557,0.557,3.4,4.4,0.773,2.8,6.4,9.2,2.2,0.4,1.0,1.4,4.6,19.0,1990
187,Reggie Williams,SF,25.0,SAS,9.0,0.0,5.4,1.0,3.0,0.33299999999999996,0.0,0.2,0.0,1.0,2.8,0.36,0.33299999999999996,0.2,0.2,1.0,0.6,0.7,1.2,0.3,0.2,0.0,0.6,0.9,2.2,1990
189,David Wingate,SG,26.0,SAS,10.0,0.0,29.3,4.0,7.7,0.519,0.2,0.3,0.667,3.8,7.4,0.514,0.532,0.9,1.2,0.75,0.9,2.8,3.7,3.8,1.8,0.3,1.4,3.4,9.1,1990
190,Randy Wittman,SF,30.0,IND,2.0,0.0,5.5,0.0,0.5,0.0,0.0,0.0,,0.0,0.5,0.0,0.0,0.0,0.0,,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1990
191,Mike Woodson,SG,31.0,HOU,1.0,0.0,6.0,1.0,3.0,0.33299999999999996,0.0,1.0,0.0,1.0,2.0,0.5,0.33299999999999996,0.0,0.0,,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,2.0,1990
192,Orlando Woolridge,SF,30.0,LAL,9.0,0.0,22.1,4.4,7.8,0.5710000000000001,0.0,0.1,0.0,4.4,7.7,0.58,0.5710000000000001,2.9,4.1,0.703,0.7,1.9,2.6,1.1,0.9,0.9,1.2,2.8,11.8,1990
193,James Worthy,SF,28.0,LAL,9.0,9.0,40.7,10.0,20.1,0.49700000000000005,0.2,0.9,0.25,9.8,19.2,0.509,0.503,4.0,4.8,0.8370000000000001,1.2,4.3,5.6,3.0,1.6,0.3,2.4,2.0,24.2,1990
194,Danny Young,PG,27.0,POR,21.0,0.0,14.0,1.3,3.4,0.389,0.5,1.4,0.379,0.8,2.0,0.395,0.465,0.9,1.3,0.7040000000000001,0.5,0.9,1.4,1.5,0.7,0.1,0.8,1.4,4.1,1990
