,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
66,Kendall Gill,SG,26,SEA,4,0,72,4.5,12.5,.360,1.0,4.0,.250,3.5,8.5,.412,2.5,4.0,.625,0.5,1.5,2.0,5.0,2.0,0.5,2.0,3.0,12.5
67,Greg Grant,PG,28,DEN,3,0,20,0.0,10.8,.000,0.0,1.8,.000,0.0,9.0,.000,3.6,3.6,1.000,5.4,0.0,5.4,9.0,1.8,0.0,0.0,9.0,3.6
68,Harvey Grant,PF,29,POR,3,3,115,4.4,8.8,.500,1.6,2.8,.556,2.8,5.9,.474,3.1,5.0,.625,0.9,4.1,5.0,1.9,0.9,0.6,1.3,1.9,13.5
69,Horace Grant,PF,29,ORL,21,21,869,5.0,9.3,.540,0.0,0.1,.000,5.0,9.2,.545,1.9,2.4,.763,3.1,6.0,9.1,1.6,0.9,1.0,1.1,2.8,11.9
70,A.C. Green,SF,31,PHO,10,10,368,3.5,7.6,.462,0.1,1.2,.083,3.4,6.5,.530,5.4,6.2,.873,3.7,8.0,11.7,1.3,0.6,0.2,1.0,2.2,12.5
71,Jack Haley,PF,31,SAS,4,0,13,2.8,19.4,.143,0.0,0.0,,2.8,19.4,.143,2.8,5.5,.500,5.5,11.1,16.6,0.0,0.0,2.8,2.8,5.5,8.3
72,Tom Hammonds,PF,27,DEN,3,0,44,7.4,11.5,.643,0.0,0.0,,7.4,11.5,.643,1.6,4.9,.333,2.5,3.3,5.7,0.8,0.0,1.6,3.3,9.8,16.4
73,Darrin Hancock,SF,23,CHH,3,0,18,4.0,12.0,.333,0.0,0.0,,4.0,12.0,.333,0.0,0.0,,4.0,4.0,8.0,2.0,2.0,0.0,6.0,10.0,8.0
74,Anfernee Hardaway,PG,23,ORL,21,21,849,6.1,12.9,.472,1.7,4.2,.404,4.4,8.7,.505,3.6,4.7,.757,1.3,2.1,3.3,6.9,1.7,0.6,3.1,3.0,17.5
75,Derek Harper,PG,33,NYK,11,11,388,5.2,10.1,.514,2.5,4.4,.574,2.7,5.8,.468,1.7,2.2,.750,0.5,3.1,3.5,5.8,1.0,0.1,2.4,2.7,14.6
76,Ron Harper,SG,31,CHI,6,0,40,5.4,12.6,.429,0.0,1.8,.000,5.4,10.8,.500,0.0,0.0,,1.8,3.6,5.4,3.6,2.7,0.9,0.9,5.4,10.8
77,Antonio Harvey,PF,24,LAL,3,0,4,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0
78,Hersey Hawkins,SG,28,CHH,4,4,130,3.6,8.9,.406,1.1,3.6,.308,2.5,5.3,.474,4.2,4.7,.882,1.4,4.4,5.8,2.2,1.7,0.6,2.5,3.6,12.5
79,Carl Herrera,PF,28,HOU,1,0,6,6.0,6.0,1.000,0.0,0.0,,6.0,6.0,1.000,0.0,0.0,,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,12.0
80,Tyrone Hill,C,26,CLE,4,4,139,2.3,7.5,.310,0.0,0.3,.000,2.3,7.3,.321,4.1,6.5,.640,2.1,3.9,6.0,0.8,1.8,0.3,2.6,4.7,8.8
81,Jeff Hornacek,SG,31,UTA,5,5,178,5.3,10.3,.510,1.4,2.6,.538,3.8,7.7,.500,2.2,2.8,.786,0.6,0.6,1.2,4.0,1.6,0.2,1.4,3.8,14.2
