,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,current_year
97,Jason Collier,C,25.0,HOU,13.0,3.0,8.0,1.3,2.8,0.47200000000000003,0.0,0.0,,1.3,2.8,0.47200000000000003,0.47200000000000003,0.2,0.2,1.0,0.9,1.3,2.2,0.1,0.2,0.1,0.2,0.8,2.8,2003
99,Jarron Collins,C,24.0,UTA,22.0,7.0,19.1,1.7,3.9,0.442,0.0,0.0,0.0,1.7,3.9,0.447,0.442,2.0,2.8,0.71,1.5,1.3,2.7,0.6,0.2,0.3,0.9,3.2,5.5,2003
100,Jason Collins,C,24.0,NJN,81.0,66.0,23.5,1.7,4.2,0.414,0.0,0.0,0.0,1.7,4.1,0.419,0.414,2.2,2.9,0.763,1.7,2.9,4.5,1.1,0.6,0.5,1.0,3.1,5.7,2003
101,Chris Crawford,PF,27.0,ATL,5.0,0.0,7.6,1.6,2.6,0.615,0.2,0.6,0.33299999999999996,1.4,2.0,0.7,0.654,1.4,1.6,0.875,0.6,0.8,1.4,0.2,0.4,0.6,0.4,1.4,4.8,2003
102,Jamal Crawford,PG,22.0,CHI,80.0,31.0,24.9,4.2,10.1,0.413,1.1,3.0,0.355,3.1,7.1,0.43799999999999994,0.467,1.3,1.6,0.8059999999999999,0.3,2.1,2.3,4.2,1.0,0.3,1.7,1.6,10.7,2003
103,Austin Croshere,PF,27.0,IND,49.0,0.0,12.9,1.8,4.3,0.41100000000000003,0.6,1.4,0.391,1.2,2.9,0.42100000000000004,0.47600000000000003,1.1,1.3,0.815,0.8,2.3,3.2,1.1,0.1,0.3,0.6,1.0,5.1,2003
104,John Crotty,PG,33.0,DEN,12.0,0.0,15.0,1.2,3.4,0.341,0.3,1.1,0.308,0.8,2.3,0.35700000000000004,0.39,0.8,1.3,0.6,0.1,1.2,1.3,2.4,0.3,0.0,0.8,1.3,3.4,2003
105,Eddy Curry,C,20.0,CHI,81.0,48.0,19.4,4.1,7.1,0.585,0.0,0.0,,4.1,7.1,0.585,0.585,2.2,3.5,0.624,1.4,2.9,4.4,0.5,0.2,0.8,1.7,2.8,10.5,2003
106,Michael Curry,SF,34.0,DET,78.0,77.0,19.9,1.2,2.9,0.402,0.2,0.7,0.29600000000000004,1.0,2.2,0.434,0.43700000000000006,0.5,0.6,0.8,0.2,1.4,1.6,1.3,0.6,0.1,0.6,2.1,3.0,2003
107,Erick Dampier,C,27.0,GSW,82.0,82.0,24.1,3.2,6.4,0.496,0.0,0.0,0.0,3.2,6.3,0.498,0.496,1.9,2.7,0.698,3.0,3.6,6.6,0.7,0.3,1.9,1.4,3.0,8.2,2003
108,Antonio Daniels,SG,27.0,POR,67.0,2.0,13.0,1.3,2.8,0.452,0.3,0.9,0.305,1.0,1.9,0.52,0.5,1.0,1.1,0.855,0.2,0.9,1.1,1.3,0.5,0.1,0.5,0.6,3.7,2003
109,Antonio Davis,C,34.0,TOR,53.0,52.0,35.7,4.9,12.1,0.40700000000000003,0.0,0.0,,4.9,12.1,0.40700000000000003,0.40700000000000003,4.1,5.3,0.7709999999999999,2.5,5.8,8.2,2.5,0.4,1.2,2.2,2.8,13.9,2003
110,Baron Davis,PG,23.0,NOH,50.0,47.0,37.8,6.6,16.0,0.41600000000000004,2.0,5.7,0.35,4.7,10.3,0.452,0.478,1.9,2.6,0.71,1.1,2.6,3.7,6.4,1.8,0.4,2.8,3.0,17.1,2003
111,Dale Davis,C,33.0,POR,78.0,78.0,29.3,3.0,5.6,0.541,0.0,0.0,,3.0,5.6,0.541,0.541,1.3,2.1,0.633,3.0,4.2,7.2,1.2,0.7,0.9,0.9,2.4,7.4,2003
112,Emanual Davis,SG,34.0,ATL,24.0,1.0,14.2,1.3,3.7,0.364,0.3,1.2,0.24100000000000002,1.0,2.5,0.424,0.40299999999999997,0.7,0.9,0.773,0.2,1.6,1.8,1.5,0.5,0.1,1.0,1.2,3.7,2003
113,Hubert Davis,SG,32.0,DET,43.0,1.0,7.6,0.7,1.8,0.392,0.3,0.8,0.33299999999999996,0.4,1.0,0.442,0.46799999999999997,0.1,0.1,0.833,0.1,0.7,0.8,0.7,0.1,0.0,0.3,0.5,1.8,2003
114,Ricky Davis,SG,23.0,CLE,79.0,76.0,39.6,7.6,18.6,0.41,0.9,2.6,0.363,6.7,16.0,0.41700000000000004,0.435,4.4,5.9,0.748,1.2,3.7,4.9,5.5,1.6,0.5,3.5,2.3,20.6,2003
115,Andrew DeClercq,C,29.0,ORL,77.0,21.0,17.2,1.9,3.6,0.534,0.0,0.0,,1.9,3.6,0.534,0.534,0.9,1.4,0.644,1.8,2.6,4.4,0.7,0.5,0.5,1.1,3.4,4.7,2003
116,Tony Delk,PG,29.0,BOS,67.0,39.0,28.0,3.5,8.4,0.41600000000000004,1.8,4.5,0.395,1.7,3.8,0.441,0.523,1.0,1.3,0.782,0.6,2.9,3.5,2.2,1.1,0.1,1.0,1.9,9.8,2003
117,Dan Dickau,PG,24.0,ATL,50.0,0.0,10.3,1.4,3.4,0.41200000000000003,0.4,1.2,0.361,1.0,2.2,0.44,0.47600000000000003,0.4,0.5,0.8079999999999999,0.2,0.7,0.9,1.7,0.3,0.0,1.1,1.3,3.7,2003
118,Michael Dickerson,SG,27.0,MEM,6.0,1.0,14.5,1.7,4.0,0.41700000000000004,0.7,1.8,0.364,1.0,2.2,0.462,0.5,0.8,0.8,1.0,0.2,0.8,1.0,1.3,0.8,0.2,1.0,2.7,4.8,2003
120,DeSagana Diop,PF,21.0,CLE,80.0,1.0,11.8,0.7,1.9,0.35100000000000003,0.0,0.0,,0.7,1.9,0.35100000000000003,0.35100000000000003,0.1,0.4,0.36700000000000005,0.8,1.9,2.7,0.5,0.4,1.0,0.7,1.9,1.5,2003
121,Vlade Divac,C,34.0,SAC,80.0,80.0,29.8,3.8,8.2,0.466,0.1,0.3,0.24,3.7,7.9,0.475,0.47,2.2,3.1,0.713,2.0,5.2,7.2,3.4,1.0,1.3,1.9,3.0,9.9,2003
122,Juan Dixon,PG,24.0,WAS,42.0,3.0,15.4,2.5,6.5,0.384,0.6,2.0,0.298,1.9,4.5,0.42200000000000004,0.43,0.9,1.1,0.804,0.3,1.4,1.7,1.0,0.6,0.1,1.0,1.3,6.4,2003
123,Michael Doleac,C,25.0,NYK,75.0,0.0,13.9,1.9,4.6,0.426,0.0,0.0,,1.9,4.6,0.426,0.426,0.5,0.6,0.7829999999999999,0.9,2.1,2.9,0.6,0.2,0.2,0.7,2.0,4.4,2003
124,Keyon Dooling,SG,22.0,LAC,55.0,1.0,17.6,2.3,6.0,0.389,0.9,2.5,0.36,1.4,3.5,0.41100000000000003,0.465,0.8,1.0,0.772,0.2,1.1,1.3,1.6,0.4,0.1,1.1,1.7,6.4,2003
125,Bryce Drew,PG,28.0,NOH,13.0,0.0,6.1,0.6,2.1,0.29600000000000004,0.2,0.5,0.429,0.4,1.5,0.25,0.35200000000000004,0.0,0.0,,0.3,0.7,1.0,0.8,0.2,0.0,0.2,0.2,1.5,2003
126,Predrag Drobnjak,C,27.0,SEA,82.0,69.0,24.2,4.0,9.6,0.41200000000000003,0.4,1.0,0.353,3.6,8.6,0.419,0.431,1.1,1.4,0.7909999999999999,1.4,2.5,3.9,1.0,0.6,0.5,0.8,2.2,9.4,2003
127,Chris Dudley,C,37.0,POR,3.0,0.0,3.7,0.0,0.3,0.0,0.0,0.0,,0.0,0.3,0.0,0.0,0.0,0.0,,0.7,0.0,0.7,0.0,0.0,0.0,0.0,1.0,0.0,2003
128,Tim Duncan,PF,26.0,SAS,81.0,81.0,39.3,8.8,17.2,0.513,0.1,0.3,0.273,8.7,16.9,0.517,0.515,5.6,7.8,0.71,3.2,9.7,12.9,3.9,0.7,2.9,3.1,2.9,23.3,2003
129,Mike Dunleavy,SF,22.0,GSW,82.0,3.0,15.9,2.0,5.1,0.40299999999999997,0.6,1.8,0.34700000000000003,1.4,3.3,0.434,0.465,1.0,1.2,0.78,0.8,1.8,2.6,1.3,0.6,0.2,1.0,1.5,5.7,2003
130,Howard Eisley,PG,30.0,NYK,82.0,76.0,27.4,3.2,7.7,0.41700000000000004,1.6,4.1,0.389,1.6,3.5,0.45,0.521,1.1,1.3,0.848,0.3,2.0,2.3,5.4,0.9,0.1,1.8,2.7,9.1,2003
131,LaPhonso Ellis,PF,32.0,MIA,55.0,3.0,14.3,1.8,4.8,0.382,0.5,1.9,0.252,1.3,2.8,0.47100000000000003,0.433,0.9,1.2,0.758,0.8,2.1,2.9,0.3,0.3,0.3,0.6,1.6,5.0,2003
132,Melvin Ely,C,24.0,LAC,52.0,7.0,15.4,1.8,3.6,0.495,0.0,0.0,,1.8,3.6,0.495,0.495,1.0,1.4,0.703,1.2,2.1,3.3,0.3,0.2,0.6,1.0,1.8,4.5,2003
133,Evan Eschmeyer,C,27.0,DAL,17.0,3.0,7.9,0.4,1.1,0.368,0.0,0.0,,0.4,1.1,0.368,0.368,0.2,0.2,0.75,0.6,1.1,1.7,0.4,0.6,0.4,0.4,2.1,1.0,2003
134,Reggie Evans,PF,22.0,SEA,67.0,60.0,20.4,1.0,2.1,0.47100000000000003,0.0,0.0,,1.0,2.1,0.47100000000000003,0.47100000000000003,1.2,2.3,0.519,2.5,4.1,6.6,0.5,0.6,0.2,0.8,2.6,3.2,2003
