,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
107,Joe Johnson,SG,28,ATL,11,11,40.0,7.0,18.1,.387,0.8,3.7,.220,6.2,14.4,.430,.410,3.1,3.8,.810,1.8,3.3,5.1,5.0,0.9,0.3,2.3,2.0,17.9
108,Dwayne Jones,PF,26,PHO,2,0,5.0,0.5,1.0,.500,0.0,0.0,,0.5,1.0,.500,.500,1.5,2.0,.750,0.5,2.0,2.5,0.0,0.0,0.0,0.5,0.0,2.5
109,James Jones,SF,29,MIA,1,0,9.0,0.0,1.0,.000,0.0,1.0,.000,0.0,0.0,,.000,2.0,2.0,1.000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0
110,Jason Kidd*,PG,36,DAL,6,6,40.5,2.3,7.7,.304,1.5,4.7,.321,0.8,3.0,.278,.402,1.8,2.0,.917,1.0,5.8,6.8,7.0,2.3,0.2,1.5,2.5,8.0
111,Andrei Kirilenko,SF,28,UTA,2,0,15.0,2.5,5.0,.500,0.0,0.5,.000,2.5,4.5,.556,.500,0.5,0.5,1.000,1.5,1.5,3.0,0.0,0.5,0.5,0.0,1.0,5.5
112,Kyle Korver,SG,28,UTA,10,0,21.0,3.2,6.1,.525,1.1,2.3,.478,2.1,3.8,.553,.615,0.8,0.9,.889,0.0,1.1,1.1,1.3,0.5,0.0,0.7,2.2,8.3
113,Kosta Koufos,C,20,UTA,9,0,3.4,0.4,1.1,.400,0.0,0.0,,0.4,1.1,.400,.400,0.0,0.0,,0.4,0.6,1.0,0.0,0.0,0.1,0.2,0.2,0.9
114,Nenad Krstić,C,26,OKC,6,6,21.5,2.5,6.2,.405,0.0,0.0,,2.5,6.2,.405,.405,2.2,2.3,.929,2.5,3.3,5.8,0.7,0.5,0.7,0.8,2.5,7.2
115,Ty Lawson,PG,22,DEN,6,0,19.7,2.5,5.8,.429,0.7,1.7,.400,1.8,4.2,.440,.486,2.2,3.2,.684,0.7,0.7,1.3,2.7,1.0,0.0,1.3,3.0,7.8
116,Rashard Lewis,PF,30,ORL,14,14,36.6,4.7,10.2,.462,2.0,5.4,.373,2.7,4.9,.559,.559,1.4,1.8,.800,1.1,4.6,5.6,2.3,1.1,0.7,1.8,2.7,12.9
117,Robin Lopez,C,21,PHO,6,6,17.3,3.2,5.8,.543,0.0,0.0,,3.2,5.8,.543,.543,1.5,1.5,1.000,2.0,2.0,4.0,0.0,0.3,0.2,0.5,1.8,7.8
118,Jamaal Magloire,C,31,MIA,1,0,5.0,0.0,2.0,.000,0.0,0.0,,0.0,2.0,.000,.000,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
119,Ian Mahinmi,C,23,SAS,2,0,9.5,1.5,3.0,.500,0.0,0.0,,1.5,3.0,.500,.500,1.5,2.0,.750,0.0,1.0,1.0,0.0,0.0,0.5,1.0,1.5,4.5
120,Shawn Marion,SF,31,DAL,6,6,24.7,4.0,9.8,.407,0.0,0.7,.000,4.0,9.2,.436,.407,0.7,0.8,.800,1.2,3.0,4.2,1.0,0.2,0.5,1.3,2.0,8.7
