,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,current_year
272,Steven Hunter,C,28.0,MEM,21.0,0.0,158.0,3.9,9.8,0.395,0.0,0.0,,3.9,9.8,0.395,4.3,8.2,0.528,4.1,5.5,9.6,0.0,0.2,2.3,2.1,2.3,12.1,2010
273,Serge Ibaka,PF,20.0,OKC,73.0,0.0,1323.0,5.5,10.1,0.5429999999999999,0.0,0.1,0.5,5.4,10.0,0.5429999999999999,1.6,2.5,0.63,3.8,7.0,10.8,0.3,0.7,2.6,1.9,5.3,12.5,2010
274,Andre Iguodala,SF,26.0,PHI,82.0,82.0,3193.0,5.6,12.6,0.44299999999999995,1.1,3.4,0.31,4.5,9.2,0.49200000000000005,3.6,4.8,0.733,0.9,5.0,6.0,5.3,1.6,0.6,2.5,1.6,15.8,2010
275,Zydrunas Ilgauskas,C,34.0,CLE,64.0,6.0,1339.0,5.2,11.8,0.44299999999999995,0.3,0.6,0.478,4.9,11.2,0.441,2.0,2.7,0.743,3.1,6.2,9.3,1.3,0.4,1.3,1.7,4.9,12.7,2010
276,D.J. Mbenga,C,29.0,LAL,49.0,2.0,355.0,4.9,10.4,0.466,0.0,0.0,,4.9,10.4,0.466,0.9,1.9,0.474,3.2,5.6,8.8,0.8,0.5,2.9,1.5,5.5,10.6,2010
277,Ersan İlyasova,PF,22.0,MIL,81.0,31.0,1898.0,6.1,13.8,0.44299999999999995,1.5,4.6,0.336,4.6,9.3,0.496,2.1,3.0,0.715,3.0,6.8,9.8,1.6,1.0,0.4,1.3,4.8,15.9,2010
278,Allen Iverson,SG-PG,34.0,TOT,28.0,24.0,865.0,5.7,13.2,0.43,0.4,1.0,0.36,5.3,12.1,0.436,4.3,5.5,0.794,0.7,2.6,3.3,4.7,0.8,0.1,2.7,2.0,16.0,2010
281,Royal Ivey,SG,28.0,TOT,44.0,0.0,326.0,3.9,9.2,0.42200000000000004,1.5,3.9,0.4,2.3,5.3,0.43799999999999994,1.0,1.3,0.75,0.7,3.1,3.8,3.0,2.1,0.2,1.2,4.3,10.3,2010
284,Jarrett Jack,PG,26.0,TOR,82.0,43.0,2243.0,5.2,10.8,0.48100000000000004,1.3,3.2,0.41200000000000003,3.9,7.6,0.511,3.3,3.9,0.8420000000000001,0.5,3.1,3.6,6.6,1.0,0.1,2.6,2.4,14.9,2010
285,Cedric Jackson,PG,23.0,TOT,12.0,0.0,74.0,2.9,9.7,0.3,0.5,2.9,0.16699999999999998,2.4,6.8,0.35700000000000004,3.4,5.8,0.583,1.0,2.9,3.9,6.8,1.5,1.0,5.4,3.4,9.7,2010
289,Darnell Jackson,PF,24.0,TOT,28.0,0.0,123.0,2.6,8.8,0.3,0.3,1.2,0.25,2.3,7.6,0.308,1.2,1.8,0.667,2.6,3.8,6.4,1.2,0.6,1.2,3.8,6.1,6.7,2010
293,Stephen Jackson,SG-PF,31.0,TOT,81.0,81.0,3129.0,6.9,16.3,0.423,1.5,4.5,0.32799999999999996,5.4,11.8,0.46,3.9,5.0,0.779,0.9,3.7,4.6,3.5,1.5,0.5,3.0,2.3,19.2,2010
296,LeBron James,SF,25.0,CLE,76.0,76.0,2966.0,9.3,18.5,0.503,1.6,4.7,0.33299999999999996,7.8,13.8,0.56,7.2,9.4,0.767,0.9,5.9,6.7,7.9,1.5,0.9,3.2,1.4,27.4,2010
297,Mike James,PG,34.0,WAS,4.0,0.0,46.0,4.7,15.7,0.3,1.6,4.7,0.33299999999999996,3.1,11.0,0.28600000000000003,3.1,6.3,0.5,0.8,1.6,2.3,3.9,2.3,0.0,3.9,2.3,14.1,2010
